CPU Name,Price1,CPU Mark,CPU Value2,Thread Mark,Thread Value3,TDP (W),Power Perf.4,Test Date5,Socket,Category,
AMD EPYC 7742,950.00*,47365,6.82,2296,0.33,225,210,Sep-19,SP3,Server,
AMD EPYC 7702P,425.00*,46067,10.41,2259,0.51,200,230,Sep-19,SP3,Server,
AMD Ryzen 9 PRO 3900,NA,32622,NA,2983,NA,65,501,Sep-19,AM4,Desktop,
AMD Ryzen 9 3900X,$499.99 ,31872,63.75,2926,5.85,105,303,Jul-19,AM4,Desktop,
Intel Xeon W-3265 @ 2.70GHz,349.00*,31691,9.46,2474,0.74,205,154,Sep-19,FCLGA3647,Server,
AMD Ryzen 9 3900,NA,30679,NA,3019,NA,65,471,Oct-19,AM4,Desktop,
Intel Xeon Gold 6254 @ 3.10GHz,709.00*,30018,8.09,2277,0.61,200,150,Jun-19,FCLGA3647,Server,
Intel Xeon Platinum 8168 @ 2.70GHz,890.00*,29131,4.95,2073,0.35,205,142,Oct-17,FCLGA3647,Server,
Intel Xeon Platinum 8173M @ 2.00GHz,NA,28860,NA,2002,NA,165,174,Feb-18,FCLGA3647,Server,
Intel Xeon Platinum 8175M @ 2.50GHz,NA,28103,NA,1795,NA,NA,NA,Aug-18,FCLGA3647,Server,
Intel Xeon Gold 6154 @ 3.00GHz,909.00*,27722,7.09,2122,0.54,200,138,Nov-17,FCLGA3647,Server,
Intel Core i9-7980XE @ 2.60GHz,178.93*,27647,23.45,2337,1.98,165,167,Sep-17,FCLGA2066,Desktop,
Intel Xeon Platinum 8124M @ 3.00GHz,NA,26835,NA,1965,NA,NA,NA,Nov-18,FCLGA3647,Server,
Intel Core i9-7960X @ 2.80GHz,349.99*,26030,19.28,2334,1.73,165,157,Oct-17,FCLGA2066,Desktop,
Intel Xeon Gold 6148 @ 2.40GHz,925.00*,25817,8.83,1962,0.67,150,172,Jan-18,FCLGA3647,Server,
Intel Xeon Gold 6138 @ 2.00GHz,698.95*,25774,9.55,2102,0.78,125,206,Nov-17,FCLGA3647,Server,
AMD Ryzen 7 PRO 3700,NA,25748,NA,3044,NA,65,396,Sep-19,AM4,Desktop,
Intel Xeon Gold 6246 @ 3.30GHz,286.00*,25734,7.83,2357,0.72,165,155,Aug-19,FCLGA3647,Server,
AMD Ryzen Threadripper 2950X,$679.99 ,25320,37.24,2208,3.25,180,140,Sep-18,sTR4,Desktop,
Intel Xeon E5-2679 v4 @ 2.50GHz,702.00*,25266,9.35,1854,0.69,200,126,Jun-16,FCLGA2011-3,Server,
Intel Xeon Gold 6146 @ 3.20GHz,608.95*,25142,5.46,2330,0.51,165,152,Mar-18,FCLGA3647,Server,
AMD Ryzen 7 3800X,$369.99 ,24563,66.39,2982,8.06,105,233,Jul-19,AM4,Desktop,
Intel Xeon W-2170B @ 2.50GHz,NA,24561,NA,2414,NA,NA,NA,Sep-18,FCLGA-2066,Server,
Intel Xeon Platinum 8176 @ 2.10GHz,725.00*,24434,2.8,1932,0.22,165,148,Jun-19,FCLGA3647,Server,
Intel Xeon Gold 6140 @ 2.30GHz,439.99*,23964,9.82,1735,0.71,140,171,Nov-17,FCLGA3647,Server,
AMD Ryzen 7 3700X,$309.99 ,23861,76.97,2909,9.38,65,367,Jul-19,AM4,Desktop,
Intel Xeon Gold 6152 @ 2.10GHz,702.12*,23498,6.35,2033,0.55,140,167,Jan-18,FCLGA3647,Server,
AMD EPYC 7502P,300.00*,23465,10.2,1094,0.48,180,130,Sep-19,SP3,Server,
